# CK2RELIGION;EU4RELIGION;Custom Defined;Comment

# Catholic Heresies
cathar;cathar;1;Cathar
fraticelli;fraticelli;1;Fraticelli
waldensian;waldensian;1;Waldensian
lollard;lollard;1;Lollard

# Orthodox Heresies
monophysite;monophysite;1;Monophysite
bogomilist;bogomilist;1;Bogomilist
monothelite;monothelite;1;Monothelite
iconoclast;iconoclast;1;Iconoclast
paulician;paulician;1;Paulician
messalian;messalian;1;Messalian

# Sunni Heresies
zikri;zikri;1;Zikri
yazidi;yazidi;1;Yazidi
kharijite;kharijite;1;Kharijite

# Shiite Heresies
druze;druze;1;Druze
hurufi;hurufi;1;hurufi

# Zoroastrianism
mazdaki;mazdaki;1;Mazdaki
manichean;manichean;1;Manichean
khurmazta;khurmazta;1;Khurmazta

# Judaism
samaritan;samaritan_faith;1;Samaritan
karaite;karaite_faith;1;Karaite