EVTDESCPERCAS0;The scholars of your court have asked your permission to use the library for personal use.;Les savants de votre cour ont demandé la permission d'utiliser la bibliothèque à des fins personnelles.;Die Gelehrten Eures Hofes bitten um Eure Erlaubnis, die Bibliothek für ihren persönlichen Gebrauch verwenden zu dürfen.;;Los estudiosos de la  corte han pedido tu permiso para utilizar la biblioteca para uso personal.;;;;;;;;;x
allow_library;Sharing the knowledge would benefit us all.;Partager ces connaissances sera profitable à tous.;Das Wissen mit ihnen zu teilen würde uns allen zugute kommen.;;Compartir el conocimiento nos beneficiara a todos.;;;;;;;;;x
dont_allow_library;I won't have them tarnish my precious archives!;Je ne vais pas les laisser salir mes précieuses archives !;Ich werde nicht zulassen, dass sie einen Schatten auf meine kostbaren Archive werfen.;;No quiero que pongan sus manos sucias sobre mis preciosos libros.;;;;;;;;;x
EVTDESCPERCAS1; As you walk along your library's corridors, you wonder if you will ever have time to read even half of the books stored there.;Comme vous marchez le long des rayons de votre bibliothèque, vous vous demandez si vous n'aurez jamais le temps de lire ne serait-ce que la moitié des livres qui y sont entreposés.;So wie Ihr durch die Korridore Eurer Bibliothek schlendert, fragt Ihr Euch, ob Ihr überhaupt die Zeit haben werdet, auch nur die Hälfte der Bücher die dort in den Regalen stehen, zu lesen.;;Al caminar por los pasillos de tu biblioteca, te preguntas si alguna vez tendras tiempo de leer siquiera la mitad de los libros almacenados allí.;;;;;;;;;x
use_library_much;There's always time for a good book!;Il y a toujours le temps pour un bon livre !;Es ist immer Zeit für ein gutes Buch.;;¡Siempre hay tiempo para un buen libro!.;;;;;;;;;x
use_library_some;When I get the chance, I will read something interesting.;Quand j'en aurai l'occasion, je lirai quelque chose d'intéressant.;Falls ich die Gelegenheit bekomme, werde ich etwas interessantes lesen.;;Cuando tenga la oportunidad, voy a leer algo interesante.;;;;;;;;;x
use_library_wrong;You there! Catch this! Hahaha!;Vous là ! Attrapez ceci ! Hahaha !;He, du da! Fang! Hahaha!;;¡Tú ahí!..¡Atrapa este!.. Jajaja.;;;;;;;;;x
throw_book_tooltip;You throw a book at the person in the library. ;Vous lancez un livre en direction de la personne dans la bibliothèque.;Ihr werft ein Buch nach der Person in der Bibliothek.;;Lanzas un libro a una persona en la biblioteca.;;;;;;;;;x
throw_book_tooltip_stupid;This option is available thanks to your... peculiar characteristics. You throw a book at someone in the library. ;Cette option est disponible grâce à vos... caractéristiques particulières. Vous lancez un livre à quelqu'un dans la bibliothèque.;Diese Option ist dank Eurer … eigentümlichen Eigenschaften verfügbar. Ihr werft ein Buch nach der Person in der Bibliothek. ;;Esta opción está disponible gracias a tus ... características peculiares. Lanzas un libro a alguien en la biblioteca.;;;;;;;;;x
use_study;Use your Study;Utiliser votre bureau personnel.;Studierzimmer nutzen;;Usar tu Officium Privatus.;;;;;;;;;x
study_usage;You take some time for yourself in the peace and quiet of your study.;Vous prenez un peu de temps pour travailler dans le calme et la tranquilité de votre bureau.;Ihr nehmt Euch etwas Zeit für Euch selbst, um in Ruhe und Frieden zu studieren.;;Te tomas un tiempo para ti en la paz y tranquilidad de tu Officium.;;;;;;;;;x
use_study_desc;Use your personal Study.;Utiliser votre bureau personnel.;Persönliches Studierzimmer nutzen;;Usar tu Officium Privatus.;;;;;;;;;x
EVTDESCPERCAS102;You have decided to resort to your personal study to gain a moment of peace in your court. The silence and the beautiful view out of the window immediately start to inspire you.;Vous avez décider de vous retirer dans votre bureau afin d'obtenir un instant de répit loin de la cour. Le silence et la vue magnifique qu'offre la fenêtre commence à vous inspirer.;Ihr habt beschlossen, auf Eurer persönliches Studierzimmer zurückzugreifen, um einen Moment der Ruhe auf Eurem Hof zu genießen. Die Stille und die schöne Aussicht aus dem Fenster beginnen sofort, Euch zu begeistern.;;Has decidido recurrir a tu Officium para obtener un momento de paz lejos de la corte. El silencio y la hermosa vista desde la ventana de inmediato comienzan a inspirarte.;;;;;;;;;x
learn_techs;Studying technology would be wise.;Étudier la technologie serait judicieux.;Technologien zu studieren wäre sicher eine weise Entscheidung.;;El estudio de la tecnología sería prudente.;;;;;;;;;x
writing_a_book;I shall write something!;Je devrais écrire quelque chose !;Ich sollte etwas schreiben!;;¡Voy a escribir algo!;;;;;;;;;x
EVTDESCPERCAS103;Starting is the hardest part. Once you have decided on the topic, it should be easy to keep writing.;Commencer est la partie la plus ardue. Une fois le sujet choisi, il devrait être facile de continuer à écrire.;Aller Anfang ist schwer. Sobald Ihr Euch erst für ein Thema entschlossen habt, sollte Euch das Schreiben nicht mehr schwer fallen.;;El inicio es la parte más difícil. Una vez que hayas decidido sobre el tema, debería ser mas fácil seguir escribiendo.;;;;;;;;;x
write_biography;This book shall be about the great accomplishments of my house.;Ce livre portera sur les grandes réalisations de ma maison.;Dieses Buch soll über große Errungenschaften meines Hauses berichten.;;Este libro será sobre los grandes logros de mi casa.;;;;;;;;;x
write_poem;For I love you so much, truly,...;Parce que je t'aime tellement, vraiment...;Denn ich liebe dich so sehr, wahrlich …;;Porque de verdad a vos señora os quiero mucho ...;;;;;;;;;x
bio_reg;You start writing an history of your dynasty.;Vous commencez à rédiger une chronique de votre dynastie.;Ihr beginnt damit, eine Chronik Eurer Dynastie zu schreiben.;;Comienzas a escribir una historia de tu dinastía.;;;;;;;;;x
poem_reg;You decide to write a poem for your beloved.;Vous choisissez d'écrire un poème à votre amour.;Ihr entscheidet Euch dafür, ein Gedicht für Euren Liebling zu schreiben.;;Decides escribir un bello poema para tu amada.;;;;;;;;;x
EVTDESCPERCAS106;Your account of the history of your house has received critical acclaim among scholars throughout the known world! Countless generations to come will stand in awe of the mighty deeds of your dynasty!;Votre chronique de l'histoire de votre maison a été acceuillie par les critiques élogieuses des savants du monde connu ! D'innombrables générations seront impressionnées par les hauts faits de votre dynastie.;Euer Bericht über die Geschichte Eures Hauses hat entscheidenden Beifall unter den Gelehrten in der ganzen bekannten Welt erhalten! Unzählige Generationen werden in Ehrfurcht vor den großen Taten Eurer Dynastie stehen!;;El relato de la historia de tu casa ha recibido elogios de la crítica entre los estudiosos y de todo el mundo conocido. ¡Innumerables generaciones venideras se asombraran de las maravillas de tu dinastía!.;;;;;;;;;x
EVTDESCPERCAS107;Your history is being closely analyzed and fiercely debated by scholars, but unfortunately it has turned out to be a disaster! Your family will not be pleased that you have disgraced the dynasty with your ill-advised work.;Votre chronique est étudiée mais provoque d'âpres débats parmi les savants : c'est un désastre ! Votre travail mal avisé déshonore la dynastie. Votre famille en est très mécontente.;Eure Chronik wird genau analysiert und heftig von Gelehrtenn diskutiert, aber leider hat es sich als eine Katastrophe herausgestellt! Eure Familie wird nicht erfreut sein, dass Ihr Eurer Dynastie mit der schlecht beratene Arbeit Schande gemacht habt.;;Tu historia fue cuidadosamente analizada y ferozmente debatida por los eruditos, pero por desgracia, ha resultado ser ¡un desastre!. A tu familia no le agradará que hayas deshonrado a la dinastía con tu trabajo mal aconsejado.;;;;;;;;;x
EVTDESCPERCAS108;You have been hard at work trying to bring glory to your dynasty through your history of its deeds, but unfortunately it has gotten little attention. Not even your courtiers seem to care to read your work. At least you learned a lot about writing in the process.;Malgré votre dur travail pour rendre gloire aux membres de votre dynastie, votre chronique est passé inaperçue. Même vos courtisans ne semblent se soucier de la lire. Au moins avez-vous beaucoup appris sur les méthodes d'écriture.;Ihr habt hart daran gearbeitet, Eurer Dynastie durch Euren Bericht Ehre zu bringen, doch leider hat er wenig Aufmerksamkeit erlangt. Nicht einmal Eure Höflinge scheinen sich darum zu kümmern, Eure Arbeit zu würdigen. Zumindest habt Ihr eine Menge über das Schreiben gelernt.;;Has estado trabajando duro para tratar de traer gloria a tu dinastía a través de la historia de sus hazañas, pero por desgracia, se le ha hecho muy poca atención a tu libro. Parece que ni siquiera los cortesanos se preocupan de leer tu trabajo. Por lo menos has aprendido mucho sobre la escritura en el proceso.;;;;;;;;;x
accept_success;I wasn't expecting anything less!;Je n'en attendais pas moins !;Ich habe nichts anderes erwartet!;;¡Yo no esperaba nada menos!.;;;;;;;;;x
accept_failure;They are all fools and illiterates!;Tous des fous illettrés !;Diese Narren und Bauerntölpel!;;¡Todos ellos son tontos y analfabetos!.;;;;;;;;;x
accept_meh;There are other ways of serving my family.;Il y a d'autres moyens pour servir ma famille.;Es gibt andere Wege meiner Familie dienlich zu sein.;;Hay otras maneras de servir a mi familia..;;;;;;;;;x
EVTDESCPERCAS109;It was harder than you thought, but you managed to finish the poem. Now all there is left to do is present it. Surely it will impress [Root.Spouse.GetFirstName]?;Bien que cela fut plus difficile que prévu, vous avez enfin terminé le poème. Il ne vous reste plus maintenant qu'à l'offrir. Assurément, il va impressionner [Root.Spouse.GetFirstName] ?;Es war schwerer als Ihr gedacht hättet, aber Ihr konntet das Gedicht fertigstellen. Nun muss es nur noch vorgetragen werden. Wird es [Root.Spouse.GetFirstName] denn auch beeindrucken?;;Fue más difícil de lo que pensabas, pero te las arreglaste para terminar el poema. Ahora todo lo que queda por hacer es entregarselo. Seguramente [Root.Spouse.GetFirstName] quedara impresionada.;;;;;;;;;x
poem_no;I am not sure about this...;Je n'en suis pas aussi sûr...;Ich bin mir da nicht sicher …;;No estoy seguro de esto ...;;;;;;;;;x
poem_no_reg;You decide not to read the poem.;Vous décidez de ne pas lire le poème.;Ihr entscheidet Euch dafür, das Gedicht nicht vorzutragen.;;Decides no leer el poema.;;;;;;;;;x
poem_yes;This will strengthen our bond!;Cela renforcera le lien qui nous unit !;Das wird unsere Beziehung stärken.;;¡Esto fortalecerá nuestra unión!.;;;;;;;;;x
poem_yes_reg;Read the poem.;Lire le poème.;Tragt das Gedicht vor.;;Decides leer el Poema.;;;;;;;;;x
EVTDESCPERCAS110;You arrange a perfect opportunity  present the poem in your private quarters. [Root.Spouse.GetFirstName] is anxious to hear what is on your mind.;Vous attendez l'occasion parfaite pour présenter le poème dans vos quartiers privés. Malgré un certain embarras, [Root.Spouse.GetFirstName] vous écoute.;Ihr ermöglicht eine perfekte Gelegenheit um das Gedicht in Eurem Privatgemächern zu präsentiert. [Root.Spouse.GetFirstName] ist gespannt zu hören, was Ihr auf dem Herzen habt.;;Organizas una oportunidad perfecta para presentar el poema en los aposentos privados. [Root.Spouse.GetFirstName] está ansiosa/o por escuchar lo que está en tu mente.;;;;;;;;;x
read_good_poem;You are the true sapphire...;Vous seule êtes le véritable saphir...;Du allein bist der wahre Smaragd …;;Tú eres el verdadero zafiro ...;;;;;;;;;x
read_meh_poem;You, whom I cannot leave or even briefly forget...;Ô vous, que je ne peux pas quitter, ou même brièvement oublier...;Oh, wie könnte ich dich je verlassen, dich je aus meinem Herz verbannen …;;Tu eres, a quien no puedo dejar de olvidar aunque sea brevemente ...;;;;;;;;;x
read_bad_poem;Your eyes are like stars - so far away from each other...;Vos yeux sont comme les étoiles : si loin l'un de l'autre...;Deine Augen, wie Sterne – so weit voneinander enfernt …;;Tus ojos son como estrellas - tan lejos el uno del otro ...;;;;;;;;;x
poem_success;your relationship strenghtens.;Votre relation se raffermit.;Eure Beziehung verbessert sich.;;Tu relación se fortalece.;;;;;;;;;x
poem_failure;[Root.Spouse.GetFirstName] is offended!;[Root.Spouse.GetFirstName] est outragée !;[Root.Spouse.GetFirstName] ist empört!;;¡[Root.Spouse.GetFirstName] está ofendida/o!;;;;;;;;;x
bad_poem_reg;Your lack of charm and charisma are painfully obvious as you read your poem. ;À votre grand dam, la lecture du poème met en lumière votre manque flagrant de charme et de charisme.;Euer Mangel an Charme und Charisma sind schmerzhaft offensichtlich, sowie Ihr beginnt Euer Gedicht vorzutragen. ;;Tu falta de encanto y carisma son dolorosamente obvios a medida que lees el poema.;;;;;;;;;x
good_poem_reg;Your honeyed words could melt even the coldest of hearts! ;Vos mielleuses paroles émouvraient les cœurs de pierre les plus froid.;Eure honigsüßen Worte könnten selbst das kälteste Herz erwärmen. ;;¡Tus palabras melosas podrían derretir incluso el más frío de los corazones!.;;;;;;;;;x
meh_poem_reg;You are not exactly the best person to write a poem, but not the worst either. There's an equal chance of success and failure. ;Vous n'êtes ni le meilleur des poètes, ni le pire. Vous pouvez aussi bien réussir qu'échouer.;Ihr seid nicht gerade die beste Person um ein Gedicht zu schreiben, aber auch nicht die schlechteste. Ihr habt gleiche Chancen auf Erfolg und Misserfolg.;;Tu no eres exactamente la mejor persona para escribir un poema, pero por lo menos no eres el peor. Hay las mismas posibilidades de éxito y de fracaso.;;;;;;;;;x
poem_read_success;Great! ;Merveilleux !;Wunderbar!;;¡Genial!;;;;;;;;;x
poem_read_failure;This was a bad idea. ;C'était une mauvaise idée.;Das war eine schlechte Idee.;;Esta fue una mala idea.;;;;;;;;;x
EVTDESCPERCAS111;As you finish reading the poem, [Root.Spouse.GetFirstName] abruptly embraces you, flattered by your kind words.;Alors que vous finissez votre poème, [Root.Spouse.GetFirstName] vous étreint, remerciant vos flatteuses paroles.;Als Ihr das Ende Eures Gedichtes erreicht, umarmt Euch [Root.Spouse.GetFirstName], von Euren freundlichen Worten geschmeichelt.;;Al terminar de leer el poema, [Root.Spouse.GetFirstName] abruptamente te abraza, halagada/o por sus amables palabras.;;;;;;;;;x
EVTDESCPERCAS112;As you finish reading the poem, you notice the uneasy look on [Root.Spouse.GetFirstName]'s face. ;Alors que vous finissez votre poème, vous remarquez la gêne dans le regard de [Root.Spouse.GetFirstName].;Als Ihr das Ende Eures Gedichtes erreicht, bemerkt Ihr den unbehaglichen Blick auf [Root.Spouse.GetFirstName]'s Gesicht.;;Al terminar de leer el poema, se nota en la cara de [Root.Spouse.GetFirstName] una mirada inquieta.;;;;;;;;;x
poem_ok;What will it be? ;Qu'en sera-t-il vraiment ?;Was wird es sein?;;¿Qué será?;;;;;;;;;x
EVTDESCPERCAS1134; Your spouse has asked you to come into your private quarters.;Votre conjoint vous enjoint à l'inviter dans vos quartiers privés.;Eure Gattin hat Euch gebeten in Eure Privatgemächer zu kommen.;;Tu esposa/o te ha pedido ir a los aposentos privados.;;;;;;;;;x
nothing_write;I can't think of anything to write now.;Je n'arrive pas à penser à ce que je pourrais écrire.;Ich weiß nicht, worüber ich jetzt schreiben könnte.;;No puedo pensar en nada que escribir ahora.;;;;;;;;;x
write_bible;I shall express my views on the [Root.Religion.GetName] faith.;Je devrait donner mon point de vue sur la foi [Root.Religion.GetName].;Ich sollte meine Ansichten über den [Root.Religion.GetName]en Glauben ausdrücken.;;Expresaré mis puntos de vista sobre la fe [Root.Religion.GetName].;;;;;;;;;x
EVTDESCPERCAS116;You have finished writing your thoughts on the [Root.Religion.GetName] faith, and have realized that your view is quite different from the common tradition.;Vous finissez d'écrire vos pensées sur la foi [Root.Religion.GetName], et vous en arrivez à la conclusion que votre point de vue diverge des pratiques traditionnelles.;Ihr habt das Niederschreiben Eurer Gedanken über den [Root.Religion.GetName]en Glauben abgeschlossen und seid zu dem Schluss gekommen, dass sich Eure Ansichten von der üblichen Sitte erheblich unterscheiden.;;Has terminado de escribir tus pensamientos sobre la fe [Root.Religion.GetName], y te has dado cuenta de que tu punto de vista es muy diferente al de la tradición común.;;;;;;;;;x
stay_stronk;I cannot deny the truth from my heart.;Je ne peux nier la vérité qui habite mon cœur.;Ich kann die Wahrheit meines Herzens nicht verleugnen.;;No puedo negar la verdad de mi corazón.;;;;;;;;;x
bible_bad_idea;Others would hate me for these thoughts. I must keep them to myself.;D'autres me haïront pour ces pensées. Je dois les garder pour moi.;Manche würden mich dafür hassen. Ich muss schweigen!;;Otros me odiarían por estos pensamientos. Tengo que mantener esto para mi mismo.;;;;;;;;;x
bible_bad_reg;You stay loyal to [Root.Religion.GetName] traditions.;Vous choisissez de rester fidèle aux traditions de la foi [Root.Religion.GetName].;Ihr bleibt den Sitten des [Root.Religion.GetName]en Glaubens treu.;;Usted permanece leal a las tradiciones del [Root.Religion.GetName].;;;;;;;;;x
discuss_bible_chaplain;There is only one person who can help me decide.;Il n'y a qu'une personne qui peut m'aider à décider.;Es gibt nur eine Person, die mir bei dieser Angelegenheit helfen kann.;;Sólo hay una persona que puede ayudarme a decidir.;;;;;;;;;x
discuss_bible_reg;You discuss the matter with [Root.job_spiritual.GetTitledFirstName].;Vous discutez de la question avec [Root.job_spiritual.GetTitledFirstName].;Ihr besprecht die Angelegenheit mit [Root.job_spiritual.GetTitledFirstName].;;Discutes el asunto con [Root.job_spiritual.GetTitledFirstName].;;;;;;;;;x
PERCAS4;Your history of the deeds of your dynasty is finally complete. You order your subjects to make copies of it for distribution. Only time will tell of its success or failure.;Votre chronique relatant les actes de votre dynastie est enfin achevée. Vous ordonnez à vos sujets d'en réaliser des copies pour la distribuer. Seul le temps vous permettra d'en évaluer le succès ou l'échec.;Euer Bericht über die Taten Eurer Dynastie ist endlich fertiggestellt. Ihr befehlt Euren Untertanen, Kopien davon für den Vertrieb anzufertigen. Nur die Zeit wird den Erfolg oder Misserfolg zeigen können.;;Tu historia de las hazañas de tu dinastía esta finalmente completa. Pides a los monjes hacer copias de él para su distribución. Sólo el tiempo dirá de su éxito o fracaso.;;;;;;;;;x
bio_ready;I am certain it will bring honor to my family!;Je suis sûr et certain qu'elle apportera gloire et honneur à ma famille.;Ich bin mir gewiss, meiner Familie Ehre zu machen.;;¡Estoy seguro de que traerá honor a mi familia!.;;;;;;;;;x
accept_bible_discuss;How could I not see this before? ;Comment n'ai-je pas pu voir cela avant ?;Wie konnte ich das nicht schon früher erkennen?;;¿Cómo no vi esto antes?;;;;;;;;;x
decline_bible_discuss;[Root.job_spiritual.GetTitledFirstName] knows nothing of [Root.Religion.GetName] faith! ;[Root.job_spiritual.GetTitledFirstName] ne connait absolument rien de la foi [Root.Religion.GetName].;[Root.job_spiritual.GetTitledFirstName] weiß rein gar nichts über den [Root.Religion.GetName]en Glauben! ;;¡[Root.job_spiritual.GetTitledFirstName] no sabe nada de la fe [Root.Religion.GetName]!.;;;;;;;;;x
discuss_bible_neg;Disagreed on Religious Matter;En désaccord sur la question religieuse.;Dem religiösen Anliegen wiedersprochen ;;No estuvo de acuerdo en materia religiosa;;;;;;;;;x
evtdescbibler3;You had a long discussion with [Root.job_spiritual.GetTitledFirstName], who tried to answer all your questions about the [Root.Religion.GetName] faith.;Vous avez longuement discuté avec [Root.job_spiritual.GetTitledFirstName], qui a tenté de répondre à toutes vos interrogations sur la foi [Root.Religion.GetName].;Ihr hattet eine lange Besprechung mit [Root.job_spiritual.GetTitledFirstName], der versucht hat, all Eure Fragen über den [Root.Religion.GetName]en Glauben zu beantworten.;;Has tenido una larga discusión con [Root.job_spiritual.GetTitledFirstName], que intentó responder a todas tus preguntas sobre la fe [Root.Religion.GetName].;;;;;;;;;x
PERCAS5;You never realized how controversial [Root.Religion.GetName] faith can be.;Vous n'aviez jamais réalisé à quel point la foi [Root.Religion.GetName] pouvait être sujet à controverse.;Ihr hättet nie gedacht dass der [Root.Religion.GetName]e Glaube so strittig sein kann.;;Tu nunca te habias dado cuenta de lo controvertida que puede ser la fe [Root.Religion.GetName].;;;;;;;;;x
bible_ready;I must finish this book to clear my mind.;Je dois finir ce livre, afin d'avoir les idées claires.;Ich muss dieses Buch beenden, um meinen Kopf frei zu bekommen.;;Debo terminar este libro para aclarar mi mente.;;;;;;;;;x
